,orthologs_Human,orthologs_Chimp,orthologs_Chicken,orthologs_Zebrafish,orthologs_Horse,orthologs_Mouse
orthologs_Human,0.0,0.01904761904761905,0.05553287518900283,0.05582511520205411,0.04306241259127156,0.04329581491106624
orthologs_Chimp,0.01904761904761905,0.0,0.05406154401881395,0.05655975978580893,0.04306241259127156,0.043527965716832054
orthologs_Chicken,0.05553287518900283,0.05406154401881395,0.0,0.06105981301843757,0.053687411191389686,0.058880117431718705
orthologs_Zebrafish,0.05582511520205411,0.05655975978580893,0.06105981301843757,0.0,0.06277358048287214,0.06185921348254853
orthologs_Horse,0.04306241259127156,0.04306241259127156,0.053687411191389686,0.06277358048287214,0.0,0.0475131096733199
orthologs_Mouse,0.04329581491106624,0.043527965716832054,0.058880117431718705,0.06185921348254853,0.0475131096733199,0.0
