,sample1_seq1,sample1_seq2,sample1_seq3,sample1_seq4,sample1_seq5,sample2_seq1,sample2_seq2,sample2_seq3,sample2_seq4,sample2_seq5
sample1_seq1,0.0,0.23890355966467272,0.46774689538794956,0.9005217142896963,1.1855250646669715,0.0,0.09753196981883414,0.9005217142896963,0.8682536766906326,1.1855250646669715
sample1_seq2,0.23890355966467272,0.0,0.3448275862068965,0.7679674983213824,1.1300668695292373,0.23890355966467272,0.2580453370188925,0.7679674983213824,0.7347336466435351,1.1300668695292373
sample1_seq3,0.46774689538794956,0.3448275862068965,0.0,0.46774689538794956,0.8858781088734572,0.46774689538794956,0.4574654883248828,0.46774689538794956,0.4388938641847537,0.8858781088734572
sample1_seq4,0.9005217142896963,0.7679674983213824,0.46774689538794956,0.0,0.7133848574336966,0.9005217142896963,0.8845348509228042,0.0,0.1090440572471855,0.7133848574336966
sample1_seq5,1.1855250646669715,1.1300668695292373,0.8858781088734572,0.7133848574336966,0.0,1.1855250646669715,1.1734275535981762,0.7133848574336966,0.7216706736709086,0.0
sample2_seq1,0.0,0.23890355966467272,0.46774689538794956,0.9005217142896963,1.1855250646669715,0.0,0.09753196981883414,0.9005217142896963,0.8682536766906326,1.1855250646669715
sample2_seq2,0.09753196981883414,0.2580453370188925,0.4574654883248828,0.8845348509228042,1.1734275535981762,0.09753196981883414,0.0,0.8845348509228042,0.8516613127743773,1.1734275535981762
sample2_seq3,0.9005217142896963,0.7679674983213824,0.46774689538794956,0.0,0.7133848574336966,0.9005217142896963,0.8845348509228042,0.0,0.1090440572471855,0.7133848574336966
sample2_seq4,0.8682536766906326,0.7347336466435351,0.4388938641847537,0.1090440572471855,0.7216706736709086,0.8682536766906326,0.8516613127743773,0.1090440572471855,0.0,0.7216706736709086
sample2_seq5,1.1855250646669715,1.1300668695292373,0.8858781088734572,0.7133848574336966,0.0,1.1855250646669715,1.1734275535981762,0.7133848574336966,0.7216706736709086,0.0
