,orthologs_Human,orthologs_Chimp,orthologs_Chicken,orthologs_Zebrafish,orthologs_Horse,orthologs_Mouse
orthologs_Human,0.0,0.020179804072053664,0.17188449798815786,0.17846004825133588,0.09543329190946048,0.10235703512574612
orthologs_Chimp,0.020179804072053664,-2.220446049250313e-16,0.16402661443916655,0.18469096200232527,0.09568966778890253,0.10405372179096883
orthologs_Chicken,0.17188449798815786,0.16402661443916655,0.0,0.21561534113533365,0.14992123290032155,0.19073749156511854
orthologs_Zebrafish,0.17846004825133588,0.18469096200232527,0.21561534113533365,0.0,0.20980269745198976,0.21610167633014754
orthologs_Horse,0.09543329190946048,0.09568966778890253,0.14992123290032155,0.20980269745198976,2.220446049250313e-16,0.11570031962753857
orthologs_Mouse,0.10235703512574612,0.10405372179096883,0.19073749156511854,0.21610167633014754,0.11570031962753857,0.0
